  bt7_documentClass  ,  bt7_documentSubClass  ,  bt7_documentSNType  ,Site,  UID_value 
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WXWVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WbYVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WfaVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WjcVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WneVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WvQVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,WzSVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,W3UVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,W7WVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,W$YVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,mDaVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,HQeVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,HYSVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,HcUVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,HgWVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,HkYVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,HoaVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,HscVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,HweVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,H4QVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,H8SVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,XAUVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,XEWVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,XIYVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,XMaVo7W41cuxKD
Manufacturing,Specification,Assembly drawing,Kimpo Productive Database,XQcVo7W41cuxKD
Development,Condition,Directives and standards,Kimpo Productive Database,3KYVo7W41cuxKD
Manufacturing,---,---,Kimpo Productive Database,3OcVo7W41cuxKD
Manufacturing,---,---,Kimpo Productive Database,3SeVo7W41cuxKD
---,---,---,Kimpo Productive Database,x0eVo7o81cuxKD
---,---,---,Kimpo Productive Database,x8SVo7o81cuxKD
---,---,---,Kimpo Productive Database,BBUVo7o81cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,BFWVo7o81cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,BJYVo7o81cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,BNaVo7o81cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,BRcVo7o81cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,BVeVo7o81cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,BdQVo7o81cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,BhSVo7o81cuxKD
Management and Process,Condition,Procedure instructions,Kimpo Productive Database,BlUVo7o81cuxKD
